category,2010,2011,2012,2013,2014,2015,2016,2017
LARCENY/THEFT,24446,25905,30976,36412,38003,42068,40448,46834
ASSAULT,12387,12279,12181,12580,12402,13115,13602,13463
DRUG/NARCOTIC,9205,6935,6444,6775,5408,4251,4246,3252
VANDALISM,7934,7243,7808,6921,7165,7675,8595,9616
WARRANTS,6187,6311,6300,7362,6726,6815,5975,4897
SUSPICIOUS OCC,6004,6207,5860,5677,5230,5500,5801,6008
BURGLARY,4966,4987,6243,6195,6066,5931,5812,5719
VEHICLE THEFT,4346,4762,6183,6241,7108,7943,6422,5646
ROBBERY,3324,3376,3955,4196,3420,3759,3300,3313
FRAUD,2656,2756,2698,2752,2988,3136,2650,2453
